week_number,region_type,region_name,ratio_congestion,percentage_congestion_change,uf_code,uf_name,municipio_code_short,municipio_code,municipio_name,uf_sigla,regiao_code,regiao_sigla,regiao_name
24,city,sao luis,0.518542396969556,-48.145760303044405,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
11,city,sao luis,1.2121427488436112,21.214274884361117,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
21,city,sao luis,0.20094020707309443,-79.90597929269056,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
12,city,sao luis,0.6277282026093975,-37.22717973906025,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
13,city,sao luis,0.136875502000211,-86.312449799978893,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
14,city,sao luis,0.20559602688633896,-79.44039731136611,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
16,city,sao luis,0.23572199185516976,-76.42780081448302,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
25,city,sao luis,0.4483305441248036,-55.16694558751964,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
17,city,sao luis,0.17650601476781713,-82.34939852321828,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
22,city,sao luis,0.2486788939110592,-75.13211060889408,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
18,city,sao luis,0.21757447318698905,-78.24255268130109,21,Maranhão,11300,2111300,São Luís,MA,2,NE,Nordeste
18,city,salvador,0.25637158887688277,-74.36284111231173,29,Bahia,27408,2927408,Salvador,BA,2,NE,Nordeste
22,city,salvador,0.19155055402301902,-80.8449445976981,29,Bahia,27408,2927408,Salvador,BA,2,NE,Nordeste
24,city,salvador,0.442241191874738,-55.775880812526204,29,Bahia,27408,2927408,Salvador,BA,2,NE,Nordeste
26,city,salvador,0.32135010243783174,-67.86498975621681,29,Bahia,27408,2927408,Salvador,BA,2,NE,Nordeste
21,city,salvador,0.284336284866953,-71.56637151330469,29,Bahia,27408,2927408,Salvador,BA,2,NE,Nordeste
25,city,salvador,0.4194266170447307,-58.057338295526925,29,Bahia,27408,2927408,Salvador,BA,2,NE,Nordeste
14,city,porto alegre,0.1811560851914209,-81.88439148085791,43,Rio Grande do Sul,14902,4314902,Porto Alegre,RS,4,S,Sul
21,city,curitiba,0.36000675939942717,-63.99932406005728,41,Paraná,06902,4106902,Curitiba,PR,4,S,Sul
25,city,curitiba,0.56320259198948,-43.679740801052006,41,Paraná,06902,4106902,Curitiba,PR,4,S,Sul
13,city,curitiba,0.15511367261155184,-84.48863273884481,41,Paraná,06902,4106902,Curitiba,PR,4,S,Sul
12,city,curitiba,0.490032857130632,-50.99671428693679,41,Paraná,06902,4106902,Curitiba,PR,4,S,Sul
17,city,curitiba,0.23700580201372368,-76.29941979862764,41,Paraná,06902,4106902,Curitiba,PR,4,S,Sul
20,city,curitiba,0.3303227414895896,-66.96772585104104,41,Paraná,06902,4106902,Curitiba,PR,4,S,Sul
16,city,curitiba,0.23227004278173893,-76.7729957218261,41,Paraná,06902,4106902,Curitiba,PR,4,S,Sul
24,city,curitiba,0.86705855316899,-13.294144683100996,41,Paraná,06902,4106902,Curitiba,PR,4,S,Sul
24,city,sao paulo,0.6674414869246832,-33.25585130753168,35,São Paulo,50308,3550308,São Paulo,SP,3,SE,Sudeste
18,city,sao paulo,0.1868245409997888,-81.31754590002112,35,São Paulo,50308,3550308,São Paulo,SP,3,SE,Sudeste
14,city,sao paulo,0.1353194195645171,-86.4680580435483,35,São Paulo,50308,3550308,São Paulo,SP,3,SE,Sudeste
12,city,brasilia,0.2306773665329155,-76.93226334670845,53,Distrito Federal,00108,5300108,Brasília,DF,5,CO,Centro-Oeste
22,city,brasilia,0.2207827477396259,-77.92172522603741,53,Distrito Federal,00108,5300108,Brasília,DF,5,CO,Centro-Oeste
20,city,sao paulo,0.1706346316959883,-82.93653683040117,35,São Paulo,50308,3550308,São Paulo,SP,3,SE,Sudeste
26,city,sao paulo,0.4602533344187546,-53.97466655812454,35,São Paulo,50308,3550308,São Paulo,SP,3,SE,Sudeste
22,city,sao paulo,0.2916422760282022,-70.83577239717978,35,São Paulo,50308,3550308,São Paulo,SP,3,SE,Sudeste
24,city,rio de janeiro,0.5224762075320898,-47.75237924679102,33,Rio de Janeiro,04557,3304557,Rio de Janeiro,RJ,3,SE,Sudeste
26,city,rio de janeiro,0.41164115221798586,-58.83588477820141,33,Rio de Janeiro,04557,3304557,Rio de Janeiro,RJ,3,SE,Sudeste
25,city,rio de janeiro,0.5561381726967812,-44.38618273032188,33,Rio de Janeiro,04557,3304557,Rio de Janeiro,RJ,3,SE,Sudeste
23,city,rio de janeiro,0.3296275168948966,-67.03724831051035,33,Rio de Janeiro,04557,3304557,Rio de Janeiro,RJ,3,SE,Sudeste
14,city,sao jose dos campos,0.21291896368599356,-78.70810363140063,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
19,city,sao jose dos campos,0.35200361781882883,-64.79963821811711,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
16,city,sao jose dos campos,0.23642827365688904,-76.3571726343111,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
24,city,sao jose dos campos,0.6616229713500796,-33.83770286499204,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
20,city,sao jose dos campos,0.32009299045459666,-67.99070095454034,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
18,city,sao jose dos campos,0.26805479684473416,-73.19452031552657,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
21,city,natal,0.3934904335225622,-60.65095664774378,24,Rio Grande do Norte,08102,2408102,Natal,RN,2,NE,Nordeste
16,city,natal,0.2942027211725412,-70.57972788274589,24,Rio Grande do Norte,08102,2408102,Natal,RN,2,NE,Nordeste
20,city,natal,0.3869001581678255,-61.309984183217445,24,Rio Grande do Norte,08102,2408102,Natal,RN,2,NE,Nordeste
24,city,natal,0.45138204271734456,-54.86179572826555,24,Rio Grande do Norte,08102,2408102,Natal,RN,2,NE,Nordeste
17,city,campinas,0.24816790127452845,-75.18320987254715,35,São Paulo,09502,3509502,Campinas,SP,3,SE,Sudeste
21,city,campinas,0.2839587786898,-71.60412213101999,35,São Paulo,09502,3509502,Campinas,SP,3,SE,Sudeste
23,city,campinas,0.38435759735535857,-61.564240264464146,35,São Paulo,09502,3509502,Campinas,SP,3,SE,Sudeste
14,city,campinas,0.2302052633760441,-76.97947366239559,35,São Paulo,09502,3509502,Campinas,SP,3,SE,Sudeste
13,city,brasilia,0.10132637313228261,-89.86736268677174,53,Distrito Federal,00108,5300108,Brasília,DF,5,CO,Centro-Oeste
17,city,brasilia,0.16046082497326603,-83.9539175026734,53,Distrito Federal,00108,5300108,Brasília,DF,5,CO,Centro-Oeste
19,city,sorocaba,0.6485418836423567,-35.14581163576433,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
15,city,sorocaba,0.45413847472232505,-54.586152527767496,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
23,city,sorocaba,0.7461712125024301,-25.382878749756987,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
25,city,sorocaba,0.7816564907266902,-21.83435092733098,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
11,city,sorocaba,1.071023952754313,7.102395275431306,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
20,city,sorocaba,0.44585262778485,-55.414737221515,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
18,city,sorocaba,0.49149296411461835,-50.85070358853816,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
17,city,sorocaba,0.43382625897537425,-56.61737410246257,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
13,city,sorocaba,0.25629670687221234,-74.37032931277876,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
26,city,sorocaba,0.5760708399312668,-42.392916006873314,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
14,city,sorocaba,0.33989750406033226,-66.01024959396678,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
16,city,sorocaba,0.4055731443705597,-59.44268556294403,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
24,city,sorocaba,0.9156514275539237,-8.43485724460763,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
21,city,sorocaba,0.4930322076756537,-50.69677923243463,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
22,city,sorocaba,0.5183735496604369,-48.16264503395631,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
12,city,sorocaba,0.618342158761006,-38.16578412389941,35,São Paulo,52205,3552205,Sorocaba,SP,3,SE,Sudeste
18,city,rio de janeiro,0.15519608157739245,-84.48039184226074,33,Rio de Janeiro,04557,3304557,Rio de Janeiro,RJ,3,SE,Sudeste
11,city,rio de janeiro,0.9774419294881088,-2.255807051189118,33,Rio de Janeiro,04557,3304557,Rio de Janeiro,RJ,3,SE,Sudeste
14,city,rio de janeiro,0.1243885897801305,-87.56114102198696,33,Rio de Janeiro,04557,3304557,Rio de Janeiro,RJ,3,SE,Sudeste
26,city,sao jose dos campos,0.3779456153226881,-62.20543846773119,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
23,city,sao jose dos campos,0.4113353324738657,-58.86646675261342,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
11,city,sao jose dos campos,0.9389926662476441,-6.10073337523559,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
15,city,sao jose dos campos,0.2649565146231603,-73.50434853768397,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
21,city,sao jose dos campos,0.34148096639121717,-65.85190336087828,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
13,city,sao jose dos campos,0.20150856704125916,-79.84914329587409,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
17,city,sao jose dos campos,0.23239340309331222,-76.76065969066877,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
25,city,sao jose dos campos,0.49012876161684454,-50.98712383831554,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
12,city,sao jose dos campos,0.42338728784838753,-57.66127121516125,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
22,city,sao jose dos campos,0.36142078651998305,-63.8579213480017,35,São Paulo,49904,3549904,São José dos Campos,SP,3,SE,Sudeste
18,city,vitoria,0.21467628261832933,-78.53237173816707,32,Espírito Santo,05309,3205309,Vitória,ES,3,SE,Sudeste
16,city,vitoria,0.20614172988768872,-79.38582701123113,32,Espírito Santo,05309,3205309,Vitória,ES,3,SE,Sudeste
24,city,vitoria,0.4489803696251093,-55.101963037489064,32,Espírito Santo,05309,3205309,Vitória,ES,3,SE,Sudeste
20,city,vitoria,0.25245180668931244,-74.75481933106876,32,Espírito Santo,05309,3205309,Vitória,ES,3,SE,Sudeste
12,city,vitoria,0.4355479346866853,-56.44520653133147,32,Espírito Santo,05309,3205309,Vitória,ES,3,SE,Sudeste
14,city,vitoria,0.16933573106985747,-83.06642689301425,32,Espírito Santo,05309,3205309,Vitória,ES,3,SE,Sudeste
26,city,vitoria,0.3237977492105214,-67.62022507894785,32,Espírito Santo,05309,3205309,Vitória,ES,3,SE,Sudeste
13,city,vitoria,0.15089844955435228,-84.91015504456477,32,Espírito Santo,05309,3205309,Vitória,ES,3,SE,Sudeste
11,city,belo horizonte,0.9307180913579403,-6.928190864205974,31,Minas Gerais,06200,3106200,Belo Horizonte,MG,3,SE,Sudeste
21,city,belo horizonte,0.2840376977733465,-71.59623022266534,31,Minas Gerais,06200,3106200,Belo Horizonte,MG,3,SE,Sudeste
25,city,belo horizonte,0.6335090201579076,-36.64909798420924,31,Minas Gerais,06200,3106200,Belo Horizonte,MG,3,SE,Sudeste
22,city,belo horizonte,0.3320195090252748,-66.79804909747253,31,Minas Gerais,06200,3106200,Belo Horizonte,MG,3,SE,Sudeste
14,city,belo horizonte,0.17729803448540704,-82.27019655145929,31,Minas Gerais,06200,3106200,Belo Horizonte,MG,3,SE,Sudeste
23,city,belo horizonte,0.3818255031488149,-61.81744968511851,31,Minas Gerais,06200,3106200,Belo Horizonte,MG,3,SE,Sudeste
15,city,belo horizonte,0.22478854025716508,-77.52114597428348,31,Minas Gerais,06200,3106200,Belo Horizonte,MG,3,SE,Sudeste
18,city,belo horizonte,0.22177420768783176,-77.82257923121682,31,Minas Gerais,06200,3106200,Belo Horizonte,MG,3,SE,Sudeste
18,city,natal,0.3463843570817407,-65.36156429182594,24,Rio Grande do Norte,08102,2408102,Natal,RN,2,NE,Nordeste
11,city,natal,1.0789948785266399,7.899487852663989,24,Rio Grande do Norte,08102,2408102,Natal,RN,2,NE,Nordeste
15,city,natal,0.2681977013458994,-73.18022986541007,24,Rio Grande do Norte,08102,2408102,Natal,RN,2,NE,Nordeste
14,city,natal,0.24807837224743107,-75.19216277525689,24,Rio Grande do Norte,08102,2408102,Natal,RN,2,NE,Nordeste
23,city,recife,0.40034503727326703,-59.96549627267329,26,Pernambuco,11606,2611606,Recife,PE,2,NE,Nordeste
16,city,recife,0.1995125328469348,-80.04874671530652,26,Pernambuco,11606,2611606,Recife,PE,2,NE,Nordeste
14,city,recife,0.17944448173035665,-82.05555182696433,26,Pernambuco,11606,2611606,Recife,PE,2,NE,Nordeste
